Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
EXCO RESOURCES PA LLC,1,STONIS PAD 1 4H,5.30556,GasWell,40.8346,-79.474767
PENNENERGY RESOURCES LLC,1,MICHAEL UNIT 11H,1407.30004,GasWell,40.835736,-79.997808
SNYDER BROS INC,1,C H SNYDER CO UNIT 3-40,1.51793,GasWell,40.83661,-79.554152
PENNENERGY RESOURCES LLC,1,GRAHAM UNIT 1H,1034.78776,GasWell,40.836628,-80.081803
XTO ENERGY INC,1,LASSINGER UNIT 2H,209.51564,GasWell,40.836667,-79.884461
XTO ENERGY INC,1,LASSINGER UNIT 5H,135.95863,GasWell,40.836667,-79.884497
XTO ENERGY INC,1,LASSINGER UNIT 1H,2.13054,GasWell,40.836669,-79.884389
XTO ENERGY INC,1,LASSINGER UNIT 3H,248.21449,GasWell,40.836669,-79.884425
XTO ENERGY INC,1,AK STEEL C1H,255.25989,GasWell,40.836944,-79.950278
XTO ENERGY INC,1,AK STEEL C2H,258.20077,GasWell,40.836967,-79.950297
XTO ENERGY INC,1,AK STEEL C4H,252.80359,GasWell,40.836992,-79.950314
XTO ENERGY INC,1,AK STEEL C3H,232.7589,GasWell,40.837017,-79.950331
SNYDER BROS INC,1,MILLIGAN-SNYDER UNIT 3,1.51793,GasWell,40.837693,-79.687643
SNYDER BROS INC,1,BVL/MUSHROOM FARM 1-1813,1.51793,GasWell,40.838068,-79.681726
PENNENERGY RESOURCES LLC,1,VOLL UNIT 1H,1385.34218,GasWell,40.838639,-80.054944
XTO ENERGY INC,1,AK STEEL B1H,247.39715,GasWell,40.840358,-79.943647
XTO ENERGY INC,1,AK STEEL B3H,216.50105,GasWell,40.840361,-79.943575
XTO ENERGY INC,1,AK STEEL B2H,212.99985,GasWell,40.840361,-79.943611
MDS ENERGY DEV LLC,1,FREDERICK A & SHERRY L WHITE 1M-43,109.64989,GasWell,40.840731,-79.622139
XTO ENERGY INC,1,SALVATORA UNIT 1H,1.26924,GasWell,40.840772,-79.848778
XTO ENERGY INC,1,SALVATORA UNIT 2H,1.26779,GasWell,40.840775,-79.848742
XTO ENERGY INC,1,SALVATORA C UNIT 9H,241.82991,GasWell,40.840778,-79.848672
XTO ENERGY INC,1,SALVATORA B UNIT 6H,1.26855,GasWell,40.840778,-79.848708
XTO ENERGY INC,1,GEIBEL C UNIT 1H,231.63101,GasWell,40.840814,-79.789553
PENNENERGY RESOURCES LLC,1,GROSICK UNIT 1H,2411.59309,GasWell,40.841592,-80.069092
PENNENERGY RESOURCES LLC,1,GILLILAND UNIT 11HB,2067.01731,GasWell,40.84265,-80.03405
EXCO RESOURCES PA LLC,1,TICKLE FARM PAD 1H,7.6351,GasWell,40.842916,-79.47312
